# Gene Family,P1,P2,P3,P4,P5,P6
ENOG4102STG,0.0,0.0,0.044,0.0,0.0,0.0
ENOG4102STW,0.0,0.0,0.117,0.0,0.0,0.0
ENOG4102SU1,0.0,0.0,0.0,0.0,0.096,0.0
ENOG4102SU8,0.0,0.0,0.0,0.0,0.137,0.0
ENOG4102SV1,0.0,0.0,0.0,0.134,0.0,0.0
ENOG4102SW0,0.0,0.0,0.0,0.126,0.0,0.0
ENOG4102SX7,0.0,0.0,0.0,0.089,0.0,0.1
ENOG4102T07,0.0,0.0,0.145,0.215,0.0,0.0
ENOG4102T0T,0.0,0.0,0.045,0.0,0.0,0.0
ENOG4102T9H,0.0,0.0,0.0,0.129,0.0,0.0
ENOG4102T9W,0.0,0.0,0.0,0.092,0.0,0.0
ENOG4102TBJ,0.0,0.0,0.064,0.0,0.0,0.0
ENOG4102TIJ,0.0,0.0,0.0,0.111,0.0,0.0
ENOG4102TUX,0.0,0.0,0.0,0.131,0.0,0.0
ENOG4102U3Z,0.0,0.0,0.0,0.0,0.069,0.0
ENOG4102U6J,0.0,0.0,0.058,0.043,0.0,0.0
ENOG4105BZ1,7.539,6.935,7.108,7.977,6.216,5.914
ENOG4105BZ3,0.318,0.278,0.656,1.003,1.011,0.417
ENOG4105BZ4,0.531,0.54,0.614,0.797,0.698,0.63
ENOG4105BZ5,2.468,2.383,3.7,2.405,2.358,2.107
ENOG4105BZ6,0.892,0.74,1.292,1.417,1.298,1.005
ENOG4105BZ7,0.214,0.322,0.255,0.087,0.104,0.0
ENOG4105BZ8,1.892,1.92,3.565,4.066,2.624,2.032
ENOG4105BZ9,10.438,8.911,10.18,8.591,6.593,6.638
ENOG4105BZA,1.733,1.916,3.276,2.886,2.146,1.177
ENOG4105BZB,0.0,0.111,0.0,0.0,0.08,0.0
ENOG4105BZE,0.0,0.378,0.311,0.417,0.396,0.344
ENOG4105BZF,0.368,0.27,0.473,0.452,0.294,0.105
ENOG4105BZH,1.698,1.358,3.279,2.963,1.915,1.147
ENOG4105BZI,0.338,0.406,0.46,0.636,0.322,0.238
ENOG4105BZJ,5.433,5.056,6.367,5.512,3.722,3.076
ENOG4105BZK,0.095,0.111,1.247,1.044,1.225,0.596
ENOG4105BZM,1.207,0.848,0.817,1.246,0.648,1.098
ENOG4105BZN,5.564,5.999,7.485,4.947,4.105,3.876
ENOG4105BZP,3.331,2.951,3.531,3.099,2.051,2.125
ENOG4105BZQ,0.314,0.47,0.95,0.254,1.289,0.596
ENOG4105BZS,17.421,16.71,17.373,20.557,17.673,18.228
ENOG4105BZT,0.687,0.279,0.715,0.47,0.943,0.202
ENOG4105BZU,16.316,14.719,16.503,20.944,16.946,13.813
ENOG4105BZW,0.0,0.0,0.0,0.12,0.0,0.0
ENOG4105BZX,0.18,0.167,0.407,0.33,0.316,0.517
ENOG4105BZY,2.654,2.985,3.619,2.881,2.778,2.593
ENOG4105BZZ,0.107,0.0,0.0,0.0,0.0,0.0
ENOG4105C00,4.174,3.344,5.28,4.812,4.175,3.206
ENOG4105C01,8.132,9.71,7.926,8.103,6.713,5.773
ENOG4105C03,1.672,1.113,2.219,1.681,1.654,0.819
ENOG4105C04,3.259,3.527,4.012,3.648,2.699,3.967
ENOG4105C06,0.0,0.0,0.0,0.0,0.343,0.0
ENOG4105C07,1.246,0.946,1.684,1.746,1.863,1.223
ENOG4105C08,0.961,1.113,0.828,1.26,1.157,1.332
ENOG4105C0A,0.363,0.924,1.956,0.885,1.279,0.527
ENOG4105C0B,1.99,2.35,2.782,2.229,2.104,1.533
ENOG4105C0C,7.231,7.144,9.37,8.076,6.959,7.181
ENOG4105C0D,1.726,1.493,1.397,1.411,1.152,1.176
ENOG4105C0F,0.593,0.722,1.672,2.138,0.859,0.653
ENOG4105C0G,4.962,4.534,6.07,5.934,5.32,5.243
ENOG4105C0H,1.855,2.377,1.719,1.427,1.452,1.086
ENOG4105C0I,2.734,2.837,1.299,1.874,1.792,1.978
ENOG4105C0K,3.411,2.621,3.32,3.292,2.693,1.707
ENOG4105C0M,1.926,1.164,2.784,2.414,2.012,1.239
ENOG4105C0N,2.043,1.54,2.275,3.101,2.862,1.916
ENOG4105C0P,2.049,1.657,1.967,2.328,1.601,2.003
ENOG4105C0Q,4.967,5.089,4.151,5.614,4.71,4.133
ENOG4105C0R,3.808,3.991,3.26,4.116,4.49,3.911
ENOG4105C0S,6.047,5.645,6.653,6.492,5.377,5.549
ENOG4105C0U,0.0,0.0,0.534,0.735,0.758,0.0
ENOG4105C0V,1.315,2.109,0.917,1.203,1.074,1.251
ENOG4105C0X,0.271,0.0,0.33,0.694,0.334,0.0
ENOG4105C0Y,0.0,0.128,0.082,0.125,0.0,0.0
ENOG4105C0Z,4.834,4.7,3.399,3.404,2.579,3.269
ENOG4105C10,1.819,1.027,2.872,2.746,2.604,1.313
ENOG4105C11,8.163,7.897,6.871,6.992,5.09,5.606
ENOG4105C12,0.356,0.441,1.186,1.144,0.845,0.389
ENOG4105C13,1.031,1.253,2.463,1.962,1.464,1.186
ENOG4105C14,0.238,0.216,0.363,0.215,0.162,0.293
ENOG4105C15,1.955,1.912,2.441,2.319,2.226,1.783
ENOG4105C16,0.0,0.073,0.0,0.0,0.0,0.0
ENOG4105C17,3.563,3.239,4.085,4.023,3.904,3.059
ENOG4105C18,5.106,4.375,2.912,3.397,2.509,3.3
ENOG4105C19,2.025,1.873,2.097,2.97,1.818,2.806
ENOG4105C1A,0.0,0.0,0.536,0.0,0.0,0.217
ENOG4105C1B,1.801,2.298,2.698,1.457,1.206,1.501
ENOG4105C1D,1.632,1.862,1.059,2.146,1.693,1.591
ENOG4105C1F,0.0,0.0,0.177,0.0,0.082,0.0
ENOG4105C1G,18.877,20.647,26.684,21.009,16.85,13.955
ENOG4105C1H,0.852,0.858,0.918,0.624,0.685,1.306
ENOG4105C1I,0.44,0.35,1.293,0.485,0.493,0.365
ENOG4105C1J,1.116,0.917,1.548,1.463,1.23,1.089
ENOG4105C1K,1.004,0.824,1.269,1.494,1.115,0.861
ENOG4105C1M,2.374,2.333,3.286,3.842,4.102,2.793
ENOG4105C1N,0.667,0.716,1.62,1.769,1.362,1.126
ENOG4105C1P,0.676,0.584,0.725,0.862,0.625,0.426
ENOG4105C1Q,0.313,0.45,0.305,0.543,0.35,0.37
ENOG4105C1S,3.527,3.112,3.811,3.072,3.096,3.144
ENOG4105C1T,0.444,0.456,0.279,0.206,0.237,0.195
ENOG4105C1V,1.421,1.01,2.168,2.031,1.822,1.228
ENOG4105C1W,12.62,12.112,18.665,23.004,20.832,14.653
ENOG4105C1X,1.878,1.648,1.555,1.201,0.792,1.059
ENOG4105C1Y,0.0,0.0,0.345,0.499,0.44,0.243
ENOG4105C20,2.162,1.736,1.857,2.381,2.18,1.519
ENOG4105C21,0.286,0.219,1.224,1.473,1.525,0.734
ENOG4105C22,2.105,1.735,2.559,3.438,2.656,2.167
ENOG4105C24,4.997,4.043,5.255,4.479,3.328,3.482
ENOG4105C25,1.872,1.632,1.83,2.368,2.671,1.845
ENOG4105C26,10.605,11.555,15.258,11.785,9.24,10.769
ENOG4105C28,2.68,2.943,4.492,4.869,3.613,2.866
ENOG4105C29,0.092,0.463,0.111,0.0,0.276,0.21
ENOG4105C2A,2.03,2.176,1.799,1.709,1.885,1.924
ENOG4105C2C,0.0,0.231,0.0,0.0,0.0,0.0
ENOG4105C2D,0.0,0.0,0.0,0.0,0.091,0.0
ENOG4105C2E,0.637,0.646,0.911,0.8,0.778,0.663
ENOG4105C2F,0.239,0.256,0.431,0.267,0.147,0.436
ENOG4105C2I,0.71,0.772,0.418,0.457,0.203,0.472
ENOG4105C2J,0.886,0.729,1.491,1.076,0.998,1.353
ENOG4105C2K,0.676,0.503,0.459,0.293,0.65,0.681
ENOG4105C2M,0.4,0.34,1.33,1.21,1.351,0.603
ENOG4105C2N,1.546,1.442,1.606,1.699,1.606,1.333
ENOG4105C2P,0.217,0.0,0.727,0.0,0.13,0.0
ENOG4105C2R,1.311,1.369,1.274,1.011,1.248,1.028
ENOG4105C2S,0.641,0.982,1.556,1.507,1.057,0.84
ENOG4105C2T,2.255,1.245,1.882,1.786,2.193,1.871
ENOG4105C2V,3.03,2.986,3.857,3.362,2.595,2.997
ENOG4105C2W,0.375,0.282,0.116,0.46,0.12,0.189
ENOG4105C2X,0.661,1.041,1.339,1.309,1.63,0.594
ENOG4105C2Y,0.0,0.0,0.0,0.467,0.244,0.0
ENOG4105C2Z,15.115,12.597,18.799,14.147,13.029,11.839
ENOG4105C30,0.451,0.3,0.716,1.272,1.121,0.598
ENOG4105C31,2.888,2.94,3.167,3.513,2.734,2.116
ENOG4105C32,0.907,0.656,0.904,1.198,0.839,0.711
ENOG4105C33,0.375,0.0,0.245,0.299,0.161,0.36
ENOG4105C34,1.327,1.423,1.322,1.432,1.664,0.929
ENOG4105C35,1.282,1.157,1.842,2.555,1.966,1.102
ENOG4105C36,0.0,0.344,0.558,0.103,0.15,0.101
ENOG4105C37,0.275,0.182,1.136,1.322,1.099,0.35
ENOG4105C38,0.453,0.215,0.548,0.959,1.178,0.214
ENOG4105C3B,0.465,0.284,0.257,0.097,0.174,0.25
ENOG4105C3C,0.0,0.0,0.0,0.192,0.117,0.0
ENOG4105C3E,4.565,4.974,7.017,6.231,4.795,4.552
ENOG4105C3F,2.155,2.305,1.935,2.219,1.684,1.458
ENOG4105C3G,1.944,2.023,3.206,2.9,2.359,1.959
ENOG4105C3H,8.312,7.292,8.508,7.553,6.993,6.132
ENOG4105C3I,2.943,3.206,4.153,4.386,2.978,2.837
ENOG4105C3J,0.0,0.12,1.125,1.679,1.346,0.701
