# Gene Family,P1,P2,P3,P4,P5,P6
K07082,0.851,0.205,0.705,0.487,0.647,0.642
K07085,2.023,2.31,0.755,1.48,1.392,1.425
K07086,0.0,0.0,0.136,0.0,0.0,0.0
K07088,0.0,0.347,0.101,0.0,0.0,0.083
K07089,0.229,0.453,0.842,0.386,0.284,0.0
K07090,4.228,3.83,3.68,3.806,3.174,3.145
K07091,0.099,0.37,0.146,0.24,0.259,0.071
K07095,0.568,0.083,0.478,0.098,0.081,0.0
K07098,0.263,0.43,0.062,0.728,0.629,0.089
K07099,0.0,0.078,0.0,0.0,0.0,0.0
K07100,0.221,0.104,0.427,0.3,0.212,0.0
K07101,0.818,0.531,1.314,0.633,0.249,0.0
K07102,0.518,0.41,0.94,1.546,0.545,0.612
K07104,2.289,3.191,2.038,1.431,1.086,2.041
K07106,2.098,2.239,1.576,2.391,1.924,2.136
K07107,6.227,6.319,4.689,5.524,4.334,4.637
K07108,0.0,0.0,0.079,0.0,0.0,0.0
K07110,1.083,1.011,1.505,1.183,0.944,0.78
K07112,0.48,0.123,0.137,0.705,0.657,0.0
K07113,0.0,0.0,0.136,0.076,0.0,0.0
K07114,1.896,2.105,2.298,2.169,1.544,1.806
K07115,0.479,0.249,0.0,0.351,0.0,0.174
K07117,0.168,0.201,0.113,0.0,0.181,0.155
K07118,0.423,0.0,0.078,0.341,0.24,0.395
K07119,0.693,0.839,0.9,0.602,0.925,0.556
K07120,0.227,0.0,0.154,0.122,0.0,0.133
K07122,0.0,0.0,0.0,0.088,0.0,0.145
K07124,0.64,0.246,0.191,0.439,0.203,0.544
K07126,0.686,0.644,0.48,0.558,0.213,0.659
K07127,0.12,0.0,0.0,0.0,0.0,0.207
K07131,2.451,1.788,2.357,2.876,1.373,1.551
K07133,0.0,0.0,0.152,0.0,0.0,0.0
K07136,0.4,0.372,0.0,0.0,0.609,0.164
K07137,0.583,0.626,1.131,1.787,1.209,0.827
K07140,0.387,0.724,0.17,0.536,0.0,0.0
K07141,1.912,1.607,0.987,1.218,1.015,1.176
K07143,0.0,0.0,0.0,0.0,0.0,0.094
K07146,0.105,0.0,0.149,0.06,0.195,0.0
K07147,0.269,0.481,0.418,0.683,0.6,0.959
K07150,0.0,0.0,0.0,0.0,0.0,0.08
K07152,1.552,1.116,1.029,1.469,1.307,1.09
K07154,0.171,0.256,0.205,0.344,0.21,0.0
K07156,0.069,0.0,0.0,0.0,0.0,0.107
K07157,2.999,2.792,2.104,2.499,1.718,2.146
K07159,0.0,0.0,0.194,0.088,0.2,0.176
K07160,0.933,1.226,0.925,0.629,0.681,0.947
K07161,1.882,1.501,1.661,1.062,1.296,1.053
K07164,0.16,0.13,0.255,0.535,0.853,0.0
K07166,0.0,0.104,0.068,0.191,0.068,0.0
K07171,1.492,1.061,1.033,0.877,0.847,0.653
K07172,0.08,0.258,0.283,0.033,0.119,0.052
K07173,0.0,0.0,0.067,0.0,0.0,0.089
K07175,0.738,0.795,1.488,1.647,1.247,0.634
K07177,0.107,0.0,0.0,0.0,0.0,0.092
K07178,0.0,0.087,0.216,0.255,0.457,0.0
K07180,4.168,4.467,3.689,4.33,3.318,4.331
K07182,0.0,0.122,0.309,0.313,0.667,0.296
K07183,1.919,1.86,0.954,1.13,1.477,1.334
K07192,0.353,0.559,0.39,0.529,1.196,0.628
K07213,0.0,0.0,0.099,0.377,0.0,0.0
K07214,2.353,2.554,3.087,2.195,1.658,1.751
K07216,0.0,0.0,0.0,0.095,0.0,0.0
K07217,0.315,0.384,1.24,0.387,0.0,0.0
K07218,0.0,0.0,0.0,0.281,0.0,0.0
